deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T14:22:59.000Z,14,7,90,13.73099995,40,14,84,0,0,"\\""""",25,761,28400,39,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:02.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",0,1081,40400,39,7,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:05.000Z,14,7,90,13.73099995,24,14,85,0,0,"\\""""",19,1358,58600,43,13,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:08.000Z,14,7,90,13.73099995,24,14,85,0,0,"\\""""",17,743,28200,43,6,92,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:11.000Z,14,7,90,13.73099995,41,14,85,0,0,"\\""""",25,765,28400,43,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:14.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",23,858,38600,43,7,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:17.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",31,1158,35600,41,10,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:20.000Z,14,7,90,13.73099995,30,14,85,0,0,"\\""""",25,757,29600,41,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:23.000Z,14,7,90,13.73099995,42,14,85,0,0,"\\""""",23,763,30400,41,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:26.000Z,14,7,90,13.73099995,27,14,85,0,0,"\\""""",25,760,29600,41,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:29.000Z,14,7,90,13.73099995,34,14,85,0,0,"\\""""",74,967,30400,40,8,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:32.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",22,990,38200,40,8,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:35.000Z,14,7,90,13.73099995,21,14,85,0,0,"\\""""",11,766,30400,40,6,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:38.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",23,762,46200,40,9,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:41.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",52,1124,32600,39,7,92,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:44.000Z,14,7,90,13.73099995,43,14,85,0,0,"\\""""",25,758,29000,39,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:47.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",66,1230,57800,39,12,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:50.000Z,14,7,90,13.73099995,27,14,85,0,0,"\\""""",23,757,29400,39,6,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:53.000Z,14,7,90,13.73099995,42,14,85,0,0,"\\""""",23,776,29200,38,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:56.000Z,14,7,90,13.73099995,23,14,85,0,0,"\\""""",38,1014,41000,38,9,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:23:59.000Z,14,7,90,13.73099995,24,14,85,0,0,"\\""""",36,1078,39600,38,9,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:02.000Z,14,7,90,13.73099995,29,14,85,0,0,"\\""""",17,1049,40000,38,9,90,2554003473,2685411329,3233808384,0,1,FALSE,0
